ने	634474782497644095
दोनों	634474776665360507
बैलों	634474776776826883
को	634474784481057540
सानी	634474776903384121
पानी	634474785094862647
देकर	634474777089494766
अपनी	634474782651662904
स्त्री	634474777326428318
धनिया	634474779913196273
से	634474786855843370
कहा	634474784798525698
गोबर	634474780183871755
भेज	634474778243920796
देना	634474778321955259
मैं	634474778764800588
जाने	634474778899738306
कब	634474779022195311
जरा	634474779343843708
मेरी	634474779452269909
लाठी	634474779550015500
दे	634474779620809549
दो	634474779700504108
के	634474779958538866
हाथ	634474780054204338
भरे	634474784172159872
थे	634474780485419002
उपले	634474780630487300
आयी	634474780897752586
थी	634474780936724815
बोली	634474781542059438
अरे	634474781626154248
कुछ	634474781715779375
रस	634474784969755491
तो	634474787988478153
कर	634474782248619851
लो	634474782315213660
होरी	634474782461792044
हुए	634474784314167994
माथे	634474784436284979
तुझे	634474784881610450
की	634474785238390857
पड़ी	634474785446872781
है	634474786102230265
मुझे	634474785589380932
यह	634474785636953653
चिन्ता	634474786069858414
कि	634474786197165695
हो	634474786475571619
गई	634474786542985475
मालिक	634474786771478544
भेंट	634474787025993102
होगी	634474787193072658
पूजा	634474787518331262
करने	634474787600695973
लगेंगे	634474787930694848
बैठे	634474788818655636
बीत	634474789021637246
जायेगा	634474789141844121
इसी	634474768163674239
कहती	634474768211756989
हूं	634474768227607895
और	634474768328463664
आज	634474768342624474
जाओगे	634474768373086216
कौन	634474768403957982
होगा	634474768433259658
अभी	634474768447540475
गये	634474768505653799
होरीराम	634474776565834815
ऊख	634474778008297319
गोड़ने	634474778130804326
न	634474787066165399
लौटूं	634474779226446993
थापकर	634474780756574511
झुर्रियां	634474783018823905
झुर्रियों	634474783953997393
सिकोड़कर	634474784712920801
अबेर	634474786402367432
असनान	634474787399464463
घण्टों	634474788675217432
